bird_name,url,num,date_time,author
Temotu Whistler,https://ebird.org/species/temwhi1,# 数量:  5,2014-10-27 07:00,观察者:  Daphne Gemmill
Rimitara Reed Warbler,https://ebird.org/species/rimrew1,# 数量:  2,2014-06-21 06:00,观察者:  Tara Tuatai
Chico's Tyrannulet,https://ebird.org/species/chityr1,# 数量:  1,2014-06-10 07:15,观察者:  Bradley Davis
Vanikoro Monarch,https://ebird.org/species/vanmon1,# 数量:  2,2014-04-30 06:00,观察者:  Lisle  Gwynn
Vanikoro White-eye,https://ebird.org/species/vanwhe1,# 数量:  10,2014-04-30 06:00,观察者:  Lisle  Gwynn
Principe Scops-Owl,https://ebird.org/species/prisco1,# 数量:  4,2014-04-02 18:30,观察者:  Ricardo de Lima
Chestnut-shouldered Goshawk,https://ebird.org/species/chsgos1,# 数量:  1,2014-03-22 16:00,观察者:  Szabolcs Kókay
Eastern Parotia,https://ebird.org/species/lawpar2,# 数量:  X,2014-03-01 00:00,观察者:  Szabolcs Kókay
Nicobar Scops-Owl,https://ebird.org/species/nicsco1,# 数量:  1,2013-12-17 00:00,观察者:  Manish Chandi
Makatea Fruit-Dove,https://ebird.org/species/mafdov1,# 数量:  10,2013-10-06 08:00,观察者:  Kenneth Petersen
Polynesian Imperial-Pigeon,https://ebird.org/species/poipig1,# 数量:  8,2013-10-06 08:00,观察者:  Kenneth Petersen
Tuamotu Kingfisher,https://ebird.org/species/tuakin2,# 数量:  5,2013-10-05 09:30,观察者:  Kenneth Petersen
Marquesas Monarch,https://ebird.org/species/marmon2,# 数量:  3,2013-09-28 08:00,观察者:  Kenneth Petersen
Marquesas Ground Dove,https://ebird.org/species/margrd1,# 数量:  14,2013-09-25 09:00,观察者:  Kenneth Petersen
Chiribiquete Emerald,https://ebird.org/species/chieme1,# 数量:  2,2013-02-14 07:00,观察者:  Juan D Ramirez Rpo
Buru Bush Warbler,https://ebird.org/species/cbbwar3,# 数量:  1,2012-11-12 06:30,观察者:  Craig Robson
Kabobo Apalis,https://ebird.org/species/chtapa2,# 数量:  4,2012-11-06 08:15,观察者:  ENSI SAFARIS
Moheli Scops-Owl,https://ebird.org/species/mohsco1,# 数量:  X,2012-10-08 00:00,观察者:  Pete Morris
Vampire Ground-Finch,https://ebird.org/species/shbgrf1,# 数量:  X,2012-10-03 00:00,观察者:  Joshua Erdman
Ayacucho Thistletail,https://ebird.org/species/vilthi3,# 数量:  3,2012-09-16 05:00,观察者:  Peter Hosner
Rote Myzomela,https://ebird.org/species/rotmyz2,# 数量:  X,2012-09-14 00:00,观察者:  Oki Hidayat
Seram Bush Warbler,https://ebird.org/species/cbbwar4,# 数量:  X,2012-09-08 00:00,观察者:  Timo Mitzen
Wangi-Wangi White-eye,https://ebird.org/species/wawwhe1,# 数量:  X,2012-08-12 00:00,观察者:  David Kelly
Dimorphic Jewel-babbler,https://ebird.org/species/blujeb2,# 数量:  X,2012-07-10 00:00,观察者:  Bengt-Eric Sjolinder
Moluccan Woodcock,https://ebird.org/species/molwoo1,# 数量:  1,2012-07-07 10:30,观察者:  John C. Mittermeier
Obi Golden-Bulbul,https://ebird.org/species/obigob1,# 数量:  1,2012-07-07 10:30,观察者:  John C. Mittermeier
Obi Paradise-crow,https://ebird.org/species/paradi3,# 数量:  3,2012-07-06 16:30,观察者:  John C. Mittermeier
Leyte Plumed-Warbler,https://ebird.org/species/mitbab1,# 数量:  5,2012-06-30 07:00,观察者:  Ruth Francisco
Somali Grosbeak,https://ebird.org/species/somgro1,# 数量:  1,2012-06-22 00:00,观察者:  Charles Davies
Warsangli Linnet,https://ebird.org/species/warlin1,# 数量:  35,2012-06-22 00:00,观察者:  Charles Davies
Bornean Swiftlet,https://ebird.org/species/cavswi3,# 数量:  4,2012-03-22 06:30,观察者:  John Drummond
Seram Masked-Owl,https://ebird.org/species/sermao1,# 数量:  X,2012-02-10 00:00,观察者:  Knud Jonsson
Black-crowned Barwing,https://ebird.org/species/bkcbar1,# 数量:  X,2012-02-10 00:00,观察者:  Tom Gray
Taliabu Myzomela,https://ebird.org/species/talmyz1,# 数量:  15,2011-11-21 05:00,观察者:  Heidi Doman
Taliabu Fantail,https://ebird.org/species/rubfan3,# 数量:  9,2011-11-21 05:00,观察者:  Craig Robson
Sula Fruit-Dove,https://ebird.org/species/macfrd2,# 数量:  5,2011-11-19 04:30,观察者:  Craig Robson
Sula Cicadabird,https://ebird.org/species/sulcus1,# 数量:  4,2011-11-19 04:30,观察者:  Craig Robson
Bare-eyed Myna,https://ebird.org/species/baemyn1,# 数量:  2,2011-11-19 04:30,观察者:  Craig Robson
Sula Jungle Flycatcher,https://ebird.org/species/suljuf1,# 数量:  3,2011-11-19 04:30,观察者:  Craig Robson
Acre Tody-Tyrant,https://ebird.org/species/acrtot1,# 数量:  1,2011-11-16 06:00,观察者:  Michael Harvey
Damar Flycatcher,https://ebird.org/species/damfly1,# 数量:  8,2011-10-29 05:30,观察者:  John Lobel
Flores Sea Cuckoo-Dove,https://ebird.org/species/ducdov1,# 数量:  3,2011-10-20 06:00,观察者:  John Lobel
White-tipped Monarch,https://ebird.org/species/whtmon2,# 数量:  10,2011-10-20 06:00,观察者:  John Lobel
Flores Sea Sunbird,https://ebird.org/species/olbsun8,# 数量:  3,2011-10-20 06:00,观察者:  John Lobel
Visayan Pygmy-Babbler,https://ebird.org/species/vispyb1,# 数量:  X,2011-09-28 00:00,观察者:  Stijn De Win
Numfor Leaf Warbler,https://ebird.org/species/isllew9,# 数量:  1,2011-09-16 00:00,观察者:  Susan Myers
Carunculated Fruit-Dove,https://ebird.org/species/cafdov1,# 数量:  X,2011-08-14 00:00,观察者:  Hanom Bashari
Alor Boobook,https://ebird.org/species/souboo6,# 数量:  X,2011-07-04 00:00,观察者:  Erwin Collaerts
Simeulue Parrot,https://ebird.org/species/burpar5,# 数量:  1,2011-07-03 00:00,观察者:  John Gregory
New Caledonian Storm-Petrel,https://ebird.org/species/necstp1,# 数量:  1,2011-06-18 07:20,观察者:  Chris Wiley
Cordillera Ground-Warbler,https://ebird.org/species/luzwrb1,# 数量:  X,2011-06-14 06:00,观察者:  Peter Hosner
Camiguin Boobook,https://ebird.org/species/camboo1,# 数量:  X,2011-06-08 00:00,观察者:  Robert Hutchinson
Yellow-throated Laughingthrush,https://ebird.org/species/yetlau1,# 数量:  X,2011-05-01 00:00,观察者:  Manoj Sharma
Nicobar Jungle Flycatcher,https://ebird.org/species/nicjuf1,# 数量:  X,2011-04-22 00:00,观察者:  AP Zaibin
Bornean Crestless Fireback,https://ebird.org/species/crefir6,# 数量:  1,2011-04-17 06:25,观察者:  Martjan Lammertink
Black Oriole,https://ebird.org/species/blaori1,# 数量:  X,2011-04-05 06:30,观察者:  Siew Teck Yeo
Barred Tinamou,https://ebird.org/species/bartin1,# 数量:  X,2011-03-26 16:00,观察者:  John Kvarnback
Barusan Cuckoo-Dove,https://ebird.org/species/barcud1,# 数量:  X,2011-01-08 00:00,观察者:  Martin Kennewell
Nicobar Sparrowhawk,https://ebird.org/species/nicspa1,# 数量:  1,2011-01-05 06:52,观察者:  AP Zaibin
Black-chinned Monarch,https://ebird.org/species/blcmon1,# 数量:  X,2011-01-01 00:00,观察者:  James Eaton
Iphis Monarch,https://ebird.org/species/iphmon2,# 数量:  2,2010-11-29 00:00,观察者:  Jean Iron
Fatuhiva Monarch,https://ebird.org/species/fatmon1,# 数量:  1,2010-11-26 00:00,观察者:  Jean Iron
Gray-throated White-eye,https://ebird.org/species/gytwhe5,# 数量:  X,2010-09-25 00:00,观察者:  Josep del Hoyo
Sira Curassow,https://ebird.org/species/horcur2,# 数量:  1,2010-08-07 16:00,观察者:  Jacob Socolar
Enggano Imperial-Pigeon,https://ebird.org/species/grnimp5,# 数量:  X,2010-07-04 00:00,观察者:  Keith Riding
Rondonia Bushbird,https://ebird.org/species/ronbus1,# 数量:  1,2010-06-19 06:30,观察者:  Örjan Sjögren
Kungwe Apalis,https://ebird.org/species/kunapa1,# 数量:  2,2010-01-23 07:00,观察者:  Jason Anderson
Peleng Fantail,https://ebird.org/species/pelfan1,# 数量:  2,2010-01-17 00:00,观察者:  James Eaton
Somali Long-billed Lark,https://ebird.org/species/slblar1,# 数量:  2,2010-01-07 00:00,观察者:  Dominic Garcia-Hall
Red-and-black Thrush,https://ebird.org/species/rabthr1,# 数量:  X,2010-01-01 00:00,观察者:  James Eaton
Alor Myzomela,https://ebird.org/species/alomyz1,# 数量:  4,2009-12-04 06:30,观察者:  Colin Trainor
Taliabu Masked-Owl,https://ebird.org/species/talowl1,# 数量:  X,2009-11-09 00:00,观察者:  Bram Demeulemeester
Taliabu Bush Warbler,https://ebird.org/species/talgrw1,# 数量:  X,2009-11-08 00:00,观察者:  Dominique Verbelen
Sula Lorikeet,https://ebird.org/species/yaglor3,# 数量:  X,2009-11-04 00:00,观察者:  Dominique Verbelen
Sula Golden-Bulbul,https://ebird.org/species/sulgob3,# 数量:  X,2009-11-04 00:00,观察者:  Dominique Verbelen
Somali Thrush,https://ebird.org/species/somthr1,# 数量:  2,2009-10-31 00:00,观察者:  Dominic Garcia-Hall
Algerian Nuthatch,https://ebird.org/species/algnut1,# 数量:  3,2009-10-28 00:00,观察者:  Werner Suter
Slaty Cuckooshrike,https://ebird.org/species/slacus1,# 数量:  X,2009-10-26 00:00,观察者:  Bram Demeulemeester
Somali Pigeon,https://ebird.org/species/sompig1,# 数量:  1,2009-08-02 07:20,观察者:  Dominic Garcia-Hall
Little Brown Bustard,https://ebird.org/species/libbus1,# 数量:  1,2009-08-02 07:20,观察者:  Dominic Garcia-Hall
Bougainville Honeyeater,https://ebird.org/species/bouhon1,# 数量:  1,2009-07-15 06:00,观察者:  Kurt Pohlman
Ruvu Weaver,https://ebird.org/species/ruvwea1,# 数量:  15,2009-07-15 00:00,观察者:  Alexandre Vinot
Vogelkop Owlet-nightjar,https://ebird.org/species/barown2,# 数量:  1,2009-07-08 00:00,观察者:  Dubi Shapiro
West Himalayan Bush Warbler,https://ebird.org/species/spobuw2,# 数量:  X,2009-07-06 00:00,观察者:  Devashish Deb
Javan Blue-banded Kingfisher,https://ebird.org/species/bubkin2,# 数量:  1,2009-06-04 15:00,观察者:  Brian Cox
Fiji Petrel,https://ebird.org/species/fijpet1,# 数量:  2,2009-05-13 02:21,观察者:  Historic Pacific Records
Inambari Gnatcatcher,https://ebird.org/species/inagna1,# 数量:  2,2009-04-14 00:00,观察者:  Joseph Tobias
Banggai Fruit-Dove,https://ebird.org/species/macfrd3,# 数量:  X,2009-04-07 00:00,观察者:  Philippe Verbelen
Banggai Jungle Flycatcher,https://ebird.org/species/banjuf1,# 数量:  X,2009-03-24 00:00,观察者:  Philippe Verbelen
Banggai Crow,https://ebird.org/species/bancro1,# 数量:  X,2009-03-23 00:00,观察者:  Philippe Verbelen
Enggano Cuckoo-Dove,https://ebird.org/species/engcud1,# 数量:  X,2009-02-10 00:00,观察者:  Philippe Verbelen
Enggano Scops-Owl,https://ebird.org/species/ensowl1,# 数量:  X,2009-02-10 00:00,观察者:  Philippe Verbelen
Simeulue Scops-Owl,https://ebird.org/species/sisowl1,# 数量:  X,2009-01-24 00:00,观察者:  Philippe Verbelen
Luzon Buttonquail,https://ebird.org/species/luzbut1,# 数量:  X,2009-01-17 00:00,观察者:  Arnel Telesforo
Togian Boobook,https://ebird.org/species/toghao1,# 数量:  X,2008-12-16 00:00,观察者:  Philippe Verbelen
Bare-faced Bulbul,https://ebird.org/species/bafbul1,# 数量:  X,2008-12-13 00:00,观察者:  Stijn De Win
Nonggang Babbler,https://ebird.org/species/nonbab1,# 数量:  X,2008-12-01 00:00,观察者:  James Eaton
Swierstra's Spurfowl,https://ebird.org/species/swifra2,# 数量:  2,2008-11-12 08:00,观察者:  Fabio Olmos
White-fronted Wattle-eye,https://ebird.org/species/wfweye1,# 数量:  X,2008-11-08 10:10,观察者:  Fabio Olmos
Red Owl,https://ebird.org/species/marowl1,# 数量:  X,2008-11-01 00:00,观察者:  Adam Riley
Wetar Scops-Owl,https://ebird.org/species/molsco2,# 数量:  3,2008-10-24 09:00,观察者:  Colin Trainor
Wetar Figbird,https://ebird.org/species/wetfig1,# 数量:  1,2008-10-13 07:10,观察者:  Colin Trainor
Sira Barbet,https://ebird.org/species/sirbar1,# 数量:  1,2008-10-08 05:15,观察者:  Michael Harvey
Tropeiro Seedeater,https://ebird.org/species/trosee1,# 数量:  6,2008-10-08 05:00,观察者:  Fabio Olmos
Madagascar Pochard,https://ebird.org/species/madpoc1,# 数量:  X,2008-10-01 00:00,观察者:  Adam Riley
Crimson-hooded Myzomela,https://ebird.org/species/crhmyz1,# 数量:  1,2008-09-28 07:41,观察者:  Colin Trainor
Black-chested Honeyeater,https://ebird.org/species/blchon1,# 数量:  1,2008-09-28 07:41,观察者:  Colin Trainor
Sakalava Rail,https://ebird.org/species/sakrai1,# 数量:  2,2008-09-21 00:00,观察者:  Hervé JACOB
Sira Tanager,https://ebird.org/species/sirtan1,# 数量:  1,2008-09-16 06:00,观察者:  Michael Harvey
Starry Owlet-nightjar,https://ebird.org/species/spaown1,# 数量:  1,2008-08-20 08:00,观察者:  John Raven
Biak Scops-Owl,https://ebird.org/species/biasco1,# 数量:  1,2008-07-13 00:00,观察者:  Ashley Banwell
Biak Whistler,https://ebird.org/species/biawhi1,# 数量:  1,2008-07-13 00:00,观察者:  Ashley Banwell
Perija Antpitta,https://ebird.org/species/rufant6,# 数量:  X,2008-07-11 05:30,观察者:  Jorge Avendaño
Perija Starfrontlet,https://ebird.org/species/gobsta2,# 数量:  X,2008-07-05 05:30,观察者:  Jorge Avendaño
Tatama Tapaculo,https://ebird.org/species/alptap1,# 数量:  1,2008-07-03 05:20,观察者:  Sergio Ocampo-Tobón
Tres Marias Hummingbird,https://ebird.org/species/brbhum3,# 数量:  8,2008-06-30 06:21,观察者:  Eduardo Iñigo Elias
Rufous-breasted Blue Flycatcher,https://ebird.org/species/bubfly2,# 数量:  2,2008-06-21 07:00,观察者:  Peter Hosner
Ayacucho Antpitta,https://ebird.org/species/ayaant1,# 数量:  2,2008-06-20 07:00,观察者:  Roger Boyd
Tukangbesi Sunbird,https://ebird.org/species/olbsun23,# 数量:  X,2008-06-15 00:00,观察者:  Mark Rosenstein
Nicobar Hooded Pitta,https://ebird.org/species/hoopit4,# 数量:  1,2008-06-01 08:00,观察者:  Harikrishnan S
White-masked Antbird,https://ebird.org/species/whmant2,# 数量:  X,2008-05-12 00:00,观察者:  Nick Athanas
Kaempfer's Woodpecker,https://ebird.org/species/caawoo1,# 数量:  1,2008-05-07 15:00,观察者:  Marcelo Barbosa - Tocantins Birding
Boa Nova Tapaculo,https://ebird.org/species/sertap1,# 数量:  1,2008-04-04 00:00,观察者:  Ciro Albano
Sulawesi Woodcock,https://ebird.org/species/sulwoo1,# 数量:  1,2008-03-24 00:00,观察者:  Eddie Williams
Tablas Fantail,https://ebird.org/species/tabfan1,# 数量:  2,2008-03-13 00:00,观察者:  Mark Villa
Carrizal Seedeater,https://ebird.org/species/carsee1,# 数量:  X,2008-02-08 07:00,观察者:  Jhonathan Miranda - Wandering Venezuela Birding Expeditions
Long-whiskered Owlet,https://ebird.org/species/lowowl1,# 数量:  1,2008-01-10 14:30,观察者:  Scott Robinson
Togian White-eye,https://ebird.org/species/togwhe1,# 数量:  X,2007-12-15 00:00,观察者:  Raphaël JORDAN
White-capped Munia,https://ebird.org/species/whcmun1,# 数量:  20,2007-12-08 00:00,观察者:  John Gregory
Andaman Masked-Owl,https://ebird.org/species/barowl5,# 数量:  X,2007-12-01 00:00,观察者:  James Eaton
South Pare White-eye,https://ebird.org/species/brrwhe10,# 数量:  X,2007-11-15 00:00,观察者:  Nik Borrow
Slender-billed Flufftail,https://ebird.org/species/slbflu1,# 数量:  X,2007-10-23 00:00,观察者:  Stuart White
Scarlet-banded Barbet,https://ebird.org/species/scbbar2,# 数量:  2,2007-10-10 00:00,观察者:  Debbie Ottman
Urrao Antpitta,https://ebird.org/species/antant1,# 数量:  X,2007-10-08 06:00,观察者:  Miguel Moreno-Palacios
Spectacled Flowerpecker,https://ebird.org/species/speflo1,# 数量:  X,2007-08-27 00:00,观察者:  David Edwards
Rusty Tinamou,https://ebird.org/species/rustin1,# 数量:  X,2007-08-01 05:40,观察者:  PDBFF Geral
Gray-hooded White-eye,https://ebird.org/species/gyhwhe1,# 数量:  X,2007-07-26 00:00,观察者:  daniel guthrie
Bronze Parotia,https://ebird.org/species/carpar3,# 数量:  X,2007-06-22 00:00,观察者:  Tim Laman
Kuhl's Lorikeet,https://ebird.org/species/kuhlor1,# 数量:  X,2007-05-10 00:00,观察者:  Peter Odekerken
Naga Wren-Babbler,https://ebird.org/species/ltwbab1,# 数量:  X,2007-04-26 00:00,观察者:  Ulrich Weber
Turquoise-throated Barbet,https://ebird.org/species/tutbar1,# 数量:  X,2007-04-13 00:00,观察者:  Wachara  Sanguansombat
Fearful Owl,https://ebird.org/species/feaowl1,# 数量:  1,2007-04-06 00:00,观察者:  Roger McNeill
Camiguin Bulbul,https://ebird.org/species/yelbul4,# 数量:  X,2007-04-04 00:00,观察者:  Desmond Allen
Roviana Rail,https://ebird.org/species/rovrai1,# 数量:  1,2007-04-02 00:00,观察者:  Roger McNeill
Waigeo Brushturkey,https://ebird.org/species/brubrt1,# 数量:  2,2007-04-01 00:00,观察者:  Charles Davies
Wallace's Owlet-nightjar,https://ebird.org/species/waonig1,# 数量:  1,2007-04-01 00:00,观察者:  Charles Davies
Ganongga White-eye,https://ebird.org/species/gaweye1,# 数量:  8,2007-04-01 00:00,观察者:  Roger McNeill
Paramillo Tapaculo,https://ebird.org/species/partap1,# 数量:  1,2007-02-15 06:00,观察者:  Joseph Tobias
Zamboanga Bulbul,https://ebird.org/species/zambul1,# 数量:  1,2007-02-13 15:00,观察者:  Nigel Voaden
Andaman Nightjar,https://ebird.org/species/andnig1,# 数量:  1,2007-01-25 00:00,观察者:  Gerald Ziarno
Unicolored Thrush,https://ebird.org/species/unithr1,# 数量:  1,2007-01-17 00:00,观察者:  Peter Hosner
Sumatran Ground-Cuckoo,https://ebird.org/species/sugcuc1,# 数量:  X,2007-01-14 00:00,观察者:  Nick Brickle
Tacarcuna Tapaculo,https://ebird.org/species/tactap1,# 数量:  1,2007-01-08 05:30,观察者:  Johana Zuluaga-Bonilla
Jambandu Indigobird,https://ebird.org/species/jamind1,# 数量:  1,2006-12-15 07:00,观察者:  R H
Short-billed Crombec,https://ebird.org/species/shbcro1,# 数量:  X,2006-10-21 00:00,观察者:  Nik Borrow
Gray-breasted Partridge,https://ebird.org/species/gybpar4,# 数量:  6,2006-09-27 05:30,观察者:  Craig Robson
Bioko Batis,https://ebird.org/species/fepbat1,# 数量:  3,2006-09-25 00:00,观察者:  Frank Hawkins
Louisiade Whistler,https://ebird.org/species/louwhi1,# 数量:  X,2006-08-30 00:00,观察者:  Mike Greenfelder
Colonist Kingfisher,https://ebird.org/species/colkin17,# 数量:  X,2006-08-24 00:00,观察者:  Mike Greenfelder
Madanga,https://ebird.org/species/rtweye1,# 数量:  X,2006-08-01 00:00,观察者:  Robert Hutchinson
White-chinned Myzomela,https://ebird.org/species/whcmyz1,# 数量:  X,2006-06-10 00:00,观察者:  Mike Greenfelder
Louisiade Fantail,https://ebird.org/species/ruffan4,# 数量:  1,2006-06-10 00:00,观察者:  Mike Greenfelder
Congo Peacock,https://ebird.org/species/conpea1,# 数量:  3,2006-06-05 09:00,观察者:  Guillaume Péron
Diamantina Tapaculo,https://ebird.org/species/diatap2,# 数量:  1,2006-04-28 10:00,观察者:  Fabio Olmos
Bugun Liocichla,https://ebird.org/species/buglio1,# 数量:  2,2006-04-05 07:00,观察者:  David Marques
Chestnut-headed Nunlet,https://ebird.org/species/chhnun1,# 数量:  1,2006-03-22 15:00,观察者:  Adam Kent
Clarion Wren,https://ebird.org/species/clawre1,# 数量:  X,2006-03-15 07:00,观察者:  Jeff Jacobsen
Masafuera Rayadito,https://ebird.org/species/masray1,# 数量:  2,2006-02-08 11:05,观察者:  Jorge A. Tomasevic
Hume's Boobook,https://ebird.org/species/brnhao3,# 数量:  X,2006-01-29 00:00,观察者:  Susan Myers
Campbell Islands Teal,https://ebird.org/species/caitea1,# 数量:  1,2006-01-09 15:00,观察者:  Colin Miskelly
Cachar Wedge-billed Babbler,https://ebird.org/species/chbbab1,# 数量:  X,2006-01-01 00:00,观察者:  Paul Holt
Whitehead's Swiftlet,https://ebird.org/species/whiswi1,# 数量:  2,2005-12-31 06:30,观察者:  Don Roberson
Solomons Nightjar,https://ebird.org/species/solnig1,# 数量:  1,2005-12-21 11:10,观察者:  Michael Tarburton
Angola Helmetshrike,https://ebird.org/species/anghel1,# 数量:  X,2005-12-01 00:00,观察者:  Nik Borrow
Stresemann's Bristlefront,https://ebird.org/species/strbri1,# 数量:  1,2005-11-19 00:00,观察者:  Paul Salaman
MacGillivray's Prion,https://ebird.org/species/salpri3,# 数量:  3,2005-11-02 09:50,观察者:  Johnny Wilson
Orinoco Piculet,https://ebird.org/species/oripic1,# 数量:  2,2005-10-04 08:45,观察者:  Ronald Parra
Chestnut-crested Antbird,https://ebird.org/species/chcant1,# 数量:  2,2005-10-01 16:00,观察者:  Ronald Parra
Cone-billed Tanager,https://ebird.org/species/cobtan2,# 数量:  X,2005-09-16 06:00,观察者:  Tau Rasmussen
Acre Antshrike,https://ebird.org/species/acrant1,# 数量:  3,2005-08-08 06:00,观察者:  Tom Schulenberg
Tsingy Forest Rail,https://ebird.org/species/tsiwor1,# 数量:  5,2005-07-15 00:00,观察者:  gabriel normand
Mindoro Bleeding-heart,https://ebird.org/species/mibhea2,# 数量:  X,2005-06-23 00:00,观察者:  Jon Hornbuckle
Brazza's Martin,https://ebird.org/species/bramar1,# 数量:  1,2005-06-20 10:00,观察者:  Tony King
Samoan White-eye,https://ebird.org/species/saweye1,# 数量:  X,2005-06-09 07:10,观察者:  John C. Mittermeier
Perija Metaltail,https://ebird.org/species/permet1,# 数量:  X,2005-04-05 00:00,观察者:  Juan  Rodríguez-Linares
Cambodian Laughingthrush,https://ebird.org/species/camlau1,# 数量:  X,2005-04-01 00:00,观察者:  James Eaton
Mentawai Scops-Owl,https://ebird.org/species/mesowl1,# 数量:  1,2005-03-18 06:20,观察者:  John C. Mittermeier
Oberländer's Ground-Thrush,https://ebird.org/species/obgthr1,# 数量:  X,2005-02-22 00:00,观察者:  Robert van Zalinge
Painted Manakin,https://ebird.org/species/paiman1,# 数量:  1,2005-02-15 06:00,观察者:  Roger Ahlman
Palawan Striped-Babbler,https://ebird.org/species/pasbab1,# 数量:  X,2005-01-29 00:00,观察者:  James Eaton
Fox's Weaver,https://ebird.org/species/foxwea1,# 数量:  6,2005-01-14 00:00,观察者:  Jan Smith
Rote Boobook,https://ebird.org/species/souboo4,# 数量:  3,2004-12-22 21:00,观察者:  Colin Trainor
